X,Y,status,ts
-90.12317814,38.76213975,Closed,2020-04-01T15:00:00Z
-97.26184,32.75964,Open,2020-04-01T15:00:00Z
-84.220317,39.688512,Closed,2020-04-01T15:00:00Z
-85.28068,35.018188,Open,2020-04-01T15:00:00Z
-82.680965,30.180372,Open,2020-04-01T15:00:00Z
-91.245301,30.450089,Open,2020-04-01T15:00:00Z
-82.927819,40.08062,Open,2020-04-01T15:00:00Z
-90.701269,38.80325,Closed,2020-04-01T15:00:00Z
-86.25026,39.72756,Open,2020-04-01T15:00:00Z
-87.261722,30.492999,Open,2020-04-01T15:00:00Z
-84.101281,39.86576,Open,2020-04-01T15:00:00Z
-85.936942,37.838962,Open,2020-04-01T15:00:00Z
-81.12961534,29.33456624,Closed,2020-04-01T15:00:00Z
-85.227637,35.012846,Open,2020-04-01T15:00:00Z
-93.070856,34.180166,Open,2020-04-01T15:00:00Z
-81.14047,34.068152,Open,2020-04-01T15:00:00Z
-83.09781631,39.97128472,Closed,2020-04-01T15:00:00Z
-85.77536,39.546701,Closed,2020-04-01T15:00:00Z
-86.80603,33.41043,Open,2020-04-01T15:00:00Z
-85.426276,31.248273,Open,2020-04-01T15:00:00Z
-84.07997019,40.75616566,Open,2020-04-01T15:00:00Z
-84.1848819,40.2879801,Closed,2020-04-01T15:00:00Z
-93.82744927,32.45971929,Open,2020-04-01T15:00:00Z
-79.96624,32.78114,Open,2020-04-01T15:00:00Z
-84.35208,33.81713,Closed,2020-04-01T15:00:00Z
-81.39032366,28.66513598,Open,2020-04-01T15:00:00Z
-84.24934,33.828778,Open,2020-04-01T15:00:00Z
-86.00944,39.79683,Open,2020-04-01T15:00:00Z
-84.58034,34.033839,Open,2020-04-01T15:00:00Z
-86.081395,39.614173,Closed,2020-04-01T15:00:00Z
-84.490592,33.845166,Open,2020-04-01T15:00:00Z
-84.34,33.58117,Open,2020-04-01T15:00:00Z
-82.712449,34.576249,Closed,2020-04-01T15:00:00Z
-88.890574,30.394334,Open,2020-04-01T15:00:00Z
-110.980824,32.206583,Closed,2020-04-01T15:00:00Z
-86.096866,39.665401,Closed,2020-04-01T15:00:00Z
-81.52422269,28.33311878,Closed,2020-04-01T15:00:00Z
-77.42258481,37.40176073,Open,2020-04-01T15:00:00Z
-92.59014,34.574836,Open,2020-04-01T15:00:00Z
-94.192108,36.054204,Open,2020-04-01T15:00:00Z
-85.65416,40.05449,Closed,2020-04-01T15:00:00Z
-82.41716,34.79274,Open,2020-04-01T15:00:00Z
-85.706572,37.988883,Closed,2020-04-01T15:00:00Z
-81.077213,33.934584,Open,2020-04-01T15:00:00Z
-84.147356,35.907575,Open,2020-04-01T15:00:00Z
-83.84391202,36.00946423,Open,2020-04-01T15:00:00Z
-80.92004,35.240125,Open,2020-04-01T15:00:00Z
-86.597645,35.998654,Open,2020-04-01T15:00:00Z
-81.333911,35.227203,Open,2020-04-01T15:00:00Z
-88.52718,30.43786,Open,2020-04-01T15:00:00Z
-82.502207,33.50993,Open,2020-04-01T15:00:00Z
-88.84127,30.450843,Open,2020-04-01T15:00:00Z
-86.864052,34.114829,Closed,2020-04-01T15:00:00Z
-86.70114,36.324565,Closed,2020-04-01T15:00:00Z
-86.7618,36.0849,Closed,2020-04-01T15:00:00Z
-80.848534,28.552636,Open,2020-04-01T15:00:00Z
-81.859866,34.504859,Closed,2020-04-01T15:00:00Z
-81.654875,30.429249,Open,2020-04-01T15:00:00Z
-84.4945,33.96344,Open,2020-04-01T15:00:00Z
-112.341283,33.455472,Open,2020-04-01T15:00:00Z
-86.826866,35.914613,Closed,2020-04-01T15:00:00Z
-86.7791585,36.2066757,Open,2020-04-01T15:00:00Z
-92.393485,34.754629,Open,2020-04-01T15:00:00Z
-84.314007,33.841317,Open,2020-04-01T15:00:00Z
-87.339946,36.023206,Open,2020-04-01T15:00:00Z
-84.50922,33.9297,Open,2020-04-01T15:00:00Z
-82.832022,39.926109,Closed,2020-04-01T15:00:00Z
-88.85456612,35.66045864,Open,2020-04-01T15:00:00Z
-77.817884,36.062261,Open,2020-04-01T15:00:00Z
-80.922364,35.112918,Closed,2020-04-01T15:00:00Z
-84.52059,39.087178,Open,2020-04-01T15:00:00Z
-82.234141,28.52345,Open,2020-04-01T15:00:00Z
-94.47895,37.050057,Open,2020-04-01T15:00:00Z
-82.159785,29.025713,Open,2020-04-01T15:00:00Z
-81.49862314,28.33300267,Closed,2020-04-01T15:00:00Z
-84.27858,35.827095,Open,2020-04-01T15:00:00Z
-92.419605,35.091804,Open,2020-04-01T15:00:00Z
-86.857175,36.151022,Closed,2020-04-01T15:00:00Z
-85.79183,38.684831,Closed,2020-04-01T15:00:00Z
-90.434464,38.75981,Closed,2020-04-01T15:00:00Z
-89.999726,34.990941,Open,2020-04-01T15:00:00Z
-105.004798,40.582275,Closed,2020-04-01T15:00:00Z
-82.007248,26.896023,Open,2020-04-01T15:00:00Z
-93.761643,30.122556,Closed,2020-04-01T15:00:00Z
-82.25775,34.858318,Open,2020-04-01T15:00:00Z
-86.431364,35.8482,Closed,2020-04-01T15:00:00Z
-81.05732,36.947705,Closed,2020-04-01T15:00:00Z
-82.022799,34.990629,Open,2020-04-01T15:00:00Z
-101.921164,35.188777,Closed,2020-04-01T15:00:00Z
-82.51079,29.801471,Closed,2020-04-01T15:00:00Z
-81.983575,30.283154,Open,2020-04-01T15:00:00Z
-83.68466,32.899308,Closed,2020-04-01T15:00:00Z
-82.382993,29.618134,Open,2020-04-01T15:00:00Z
-92.66748,37.650954,Closed,2020-04-01T15:00:00Z
-91.06450798,30.38389503,Open,2020-04-01T15:00:00Z
-82.04006,33.51167,Open,2020-04-01T15:00:00Z
-106.499324,35.068546,Closed,2020-04-01T15:00:00Z
-82.090187,28.872046,Open,2020-04-01T15:00:00Z
-84.208891,33.961043,Open,2020-04-01T15:00:00Z
-84.34933,33.98155,Open,2020-04-01T15:00:00Z
-84.29180851,39.5420688,Open,2020-04-01T15:00:00Z
-84.473625,33.619247,Open,2020-04-01T15:00:00Z
-85.12478,34.912602,Open,2020-04-01T15:00:00Z
-81.081457,29.176646,Open,2020-04-01T15:00:00Z
-86.95460557,36.08065529,Closed,2020-04-01T15:00:00Z
-85.15872,35.04262,Open,2020-04-01T15:00:00Z
-84.122937,33.353706,Open,2020-04-01T15:00:00Z
-86.27083533,32.36404542,Open,2020-04-01T15:00:00Z
-84.80157285,39.25908041,Closed,2020-04-01T15:00:00Z
-81.75236,26.330816,Open,2020-04-01T15:00:00Z
-82.477224,27.493102,Open,2020-04-01T15:00:00Z
-82.35611,28.005352,Open,2020-04-01T15:00:00Z
